Location,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
1,87,04-01-11,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,182
1,88,04-01-11,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,112
1,89,04-01-11,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,54
1,90,04-01-11,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0,48
1,91,04-01-11,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,35
1,92,04-01-11,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,11
1,93,05-01-11,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0,6
1,94,05-01-11,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,6
1,95,05-01-11,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,2
1,96,05-01-11,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,2
1,97,05-01-11,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,3
1,98,05-01-11,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,33
1,99,05-01-11,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,88
1,100,05-01-11,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,195
1,101,05-01-11,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,115
1,102,05-01-11,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,57
1,103,05-01-11,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,46
1,104,05-01-11,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,79
1,105,05-01-11,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,71
1,106,05-01-11,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,62
1,107,05-01-11,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,62
1,108,05-01-11,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,89
1,109,05-01-11,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,190
1,110,05-01-11,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,169
1,111,05-01-11,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,132
1,112,05-01-11,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,89
1,113,05-01-11,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,43
1,114,05-01-11,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,42
1,115,05-01-11,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0,19
1,116,06-01-11,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0,11
1,117,06-01-11,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0,4
1,118,06-01-11,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0,2
1,119,06-01-11,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,1
1,120,06-01-11,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,4
1,121,06-01-11,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,36
1,122,06-01-11,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0,95
1,123,06-01-11,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0,219
1,124,06-01-11,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0,122
1,125,06-01-11,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0,45
1,126,06-01-11,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,59
1,127,06-01-11,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0,84
1,128,06-01-11,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,67
1,129,06-01-11,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,70
1,130,06-01-11,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0,62
1,131,06-01-11,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,86
1,132,06-01-11,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,172
1,133,06-01-11,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,163
1,134,06-01-11,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,112
1,135,06-01-11,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,69
1,136,06-01-11,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,48
1,137,06-01-11,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,52
1,138,06-01-11,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,23
1,139,07-01-11,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,17
1,140,07-01-11,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,7
1,141,07-01-11,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,1
1,142,07-01-11,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,1
1,143,07-01-11,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0,5
1,144,07-01-11,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0,34
1,145,07-01-11,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,84
1,146,07-01-11,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,210
1,147,07-01-11,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,134
1,148,07-01-11,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,63
1,149,07-01-11,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,67
1,150,07-01-11,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,59
1,151,07-01-11,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,73
1,152,07-01-11,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,50
1,153,07-01-11,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,72
1,154,07-01-11,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,87
1,155,07-01-11,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0,187
1,156,07-01-11,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,123
1,157,07-01-11,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,95
1,158,07-01-11,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,51
1,159,07-01-11,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,39
1,160,07-01-11,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,36
1,161,07-01-11,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,15
1,162,08-01-11,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,25
1,163,08-01-11,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,16
1,164,08-01-11,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0,16
1,165,08-01-11,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,7
1,166,08-01-11,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,1
1,167,08-01-11,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,5
1,168,08-01-11,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,2
1,169,08-01-11,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,9
1,170,08-01-11,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,15
1,171,08-01-11,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,20
1,172,08-01-11,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,61
1,173,08-01-11,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,62
1,174,08-01-11,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,98
1,175,08-01-11,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,102
1,176,08-01-11,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,95
1,177,08-01-11,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,74
1,178,08-01-11,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,76
1,179,08-01-11,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,69
1,180,08-01-11,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,55
1,181,08-01-11,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,30
1,182,08-01-11,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,28
1,183,08-01-11,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,37
1,184,08-01-11,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,34
1,185,08-01-11,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,22
1,186,09-01-11,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,25
1,187,09-01-11,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,12
1,188,09-01-11,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,11
1,189,09-01-11,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,4
1,190,09-01-11,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,1
1,191,09-01-11,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,1
1,192,09-01-11,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,1
1,193,09-01-11,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,6
1,194,09-01-11,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,10
1,195,09-01-11,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,19
1,196,09-01-11,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,49
1,197,09-01-11,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,49
1,198,09-01-11,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,83
1,199,09-01-11,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,75
1,200,09-01-11,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,72
1,201,09-01-11,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,82
1,202,09-01-11,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,92
1,203,09-01-11,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,62
1,204,09-01-11,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,48
1,205,09-01-11,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,41
1,206,09-01-11,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,38
1,207,09-01-11,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,20
1,208,09-01-11,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,15
1,209,09-01-11,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,6
1,210,10-01-11,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,5
1,211,10-01-11,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,1
1,212,10-01-11,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,3
1,213,10-01-11,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,1
1,214,10-01-11,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,3
1,215,10-01-11,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,3
1,216,10-01-11,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,31
1,217,10-01-11,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,77
1,218,10-01-11,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,188
1,219,10-01-11,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,94
1,220,10-01-11,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,31
1,221,10-01-11,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,30
1,222,10-01-11,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,52
1,223,10-01-11,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,54
1,224,10-01-11,1,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,47
1,225,10-01-11,1,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,45
1,226,10-01-11,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,74
1,227,10-01-11,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,178
1,228,10-01-11,1,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,155
1,229,10-01-11,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,95
1,230,10-01-11,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,74
1,231,10-01-11,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,38
1,232,10-01-11,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,24
1,233,10-01-11,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,18
1,234,11-01-11,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,12
1,235,11-01-11,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,3
1,236,11-01-11,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,3
1,237,11-01-11,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,6
1,238,11-01-11,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,27
1,239,11-01-11,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0,99
1,240,11-01-11,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,217
1,241,11-01-11,1,0,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,130
1,242,11-01-11,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,54
1,243,11-01-11,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,35
1,244,11-01-11,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,57
1,245,11-01-11,1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,52
1,246,11-01-11,1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,63
1,247,11-01-11,1,0,1,15,0,2,1,2,0.16,0.197,0.8,0.0896,47
1,248,11-01-11,1,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,76
1,249,11-01-11,1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,136
1,250,11-01-11,1,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,95
1,251,11-01-11,1,0,1,19,0,2,1,3,0.16,0.2273,0.93,0,51
1,252,11-01-11,1,0,1,20,0,2,1,3,0.16,0.1515,0.93,0.194,32
1,253,11-01-11,1,0,1,21,0,2,1,3,0.16,0.197,0.86,0.0896,20
1,254,11-01-11,1,0,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045,29
1,255,11-01-11,1,0,1,23,0,2,1,3,0.16,0.197,0.93,0.0896,19
1,256,12-01-11,1,0,1,0,0,3,1,2,0.16,0.197,0.86,0.0896,7
1,257,12-01-11,1,0,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045,6
1,258,12-01-11,1,0,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,1
1,259,12-01-11,1,0,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642,5
1,260,12-01-11,1,0,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343,16
1,261,12-01-11,1,0,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343,54
1,262,12-01-11,1,0,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642,128
1,263,12-01-11,1,0,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284,81
1,264,12-01-11,1,0,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239,39
1,265,12-01-11,1,0,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881,35
1,266,12-01-11,1,0,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821,55
1,267,12-01-11,1,0,1,13,0,3,1,1,0.22,0.197,0.44,0.3582,49
1,268,12-01-11,1,0,1,14,0,3,1,1,0.2,0.1818,0.47,0.3284,44
1,269,12-01-11,1,0,1,15,0,3,1,1,0.2,0.1667,0.47,0.4179,49
1,270,12-01-11,1,0,1,16,0,3,1,1,0.22,0.197,0.44,0.3284,68
1,271,12-01-11,1,0,1,17,0,3,1,1,0.2,0.1818,0.47,0.3582,139
1,272,12-01-11,1,0,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224,137
1,273,12-01-11,1,0,1,19,0,3,1,1,0.18,0.1515,0.47,0.4179,83
1,274,12-01-11,1,0,1,20,0,3,1,1,0.16,0.1364,0.5,0.3284,56
1,275,12-01-11,1,0,1,21,0,3,1,1,0.16,0.1364,0.55,0.3284,57
1,276,12-01-11,1,0,1,22,0,3,1,1,0.16,0.1212,0.55,0.4478,33
1,277,12-01-11,1,0,1,23,0,3,1,1,0.14,0.1061,0.59,0.4179,20
1,278,13-01-11,1,0,1,0,0,4,1,1,0.14,0.1212,0.59,0.2836,7
1,279,13-01-11,1,0,1,1,0,4,1,1,0.14,0.1212,0.5,0.2836,2
1,280,13-01-11,1,0,1,2,0,4,1,1,0.14,0.1212,0.5,0.3582,2
1,281,13-01-11,1,0,1,3,0,4,1,1,0.14,0.1212,0.5,0.3284,3
1,282,13-01-11,1,0,1,4,0,4,1,1,0.14,0.1212,0.5,0.2537,4
1,283,13-01-11,1,0,1,5,0,4,1,1,0.14,0.1212,0.5,0.2985,3
1,284,13-01-11,1,0,1,6,0,4,1,1,0.12,0.1515,0.54,0.1343,28
1,285,13-01-11,1,0,1,7,0,4,1,1,0.12,0.1515,0.54,0.1343,72
1,286,13-01-11,1,0,1,8,0,4,1,1,0.14,0.1364,0.5,0.194,202
1,287,13-01-11,1,0,1,9,0,4,1,1,0.14,0.1212,0.5,0.3284,139
1,288,13-01-11,1,0,1,10,0,4,1,2,0.16,0.1364,0.5,0.3582,38
1,289,13-01-11,1,0,1,11,0,4,1,2,0.2,0.1667,0.44,0.4478,37
1,290,13-01-11,1,0,1,12,0,4,1,1,0.2,0.1667,0.44,0.4179,52
1,291,13-01-11,1,0,1,13,0,4,1,1,0.22,0.197,0.41,0.4478,83
1,292,13-01-11,1,0,1,14,0,4,1,1,0.22,0.197,0.41,0.3881,42
1,293,13-01-11,1,0,1,15,0,4,1,1,0.24,0.2121,0.38,0.2985,60
1,294,13-01-11,1,0,1,16,0,4,1,1,0.24,0.2121,0.38,0.3582,78
1,295,13-01-11,1,0,1,17,0,4,1,1,0.2,0.1818,0.4,0.2836,162
1,296,13-01-11,1,0,1,18,0,4,1,1,0.2,0.1818,0.4,0.3284,144
1,297,13-01-11,1,0,1,19,0,4,1,1,0.16,0.1515,0.47,0.2537,99
1,298,13-01-11,1,0,1,20,0,4,1,1,0.16,0.1515,0.47,0.2239,64
1,299,13-01-11,1,0,1,21,0,4,1,1,0.14,0.1212,0.46,0.2985,40
1,300,13-01-11,1,0,1,22,0,4,1,1,0.14,0.1212,0.46,0.3284,30
1,301,13-01-11,1,0,1,23,0,4,1,1,0.12,0.1364,0.5,0.194,15
1,302,14-01-11,1,0,1,0,0,5,1,1,0.12,0.1364,0.5,0.194,14
1,303,14-01-11,1,0,1,1,0,5,1,1,0.1,0.1212,0.54,0.1642,5
1,304,14-01-11,1,0,1,2,0,5,1,1,0.1,0.1212,0.54,0.1343,1
1,305,14-01-11,1,0,1,3,0,5,1,1,0.1,0.1364,0.54,0.1045,1
